Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,12pF,
C2,0603,1,10u,
C3,0603,1,22u,
C4,0603,1,12p,
"CH SELECT, MODE SELECT, RUN / STOP",SW_SPST_PTS645Sx43SMTR92,3,SW_Push,
"J1, J2",LINX_CONBNC001,2,Conn_Coaxial,
"J3, J4",PinHeader_1x03_P1.00mm_Vertical,2,Conn_01x03_Pin,
J5,SAMESKY_UJC-H-G-SMT-2-P6-TR,1,USB_C_Receptacle_PowerOnly_6P,
L1,0603,1,2.2u,
R1,0603,1,220k,
"R10, R4",0603,2,240k,
"R11, R3, R5",0603,3,750k,
"R12, R6",0603,2,370k,
R13,0603,1,200k,
"R14, R22",0603,2,100k,
"R15, R16, R17, R18",0603,4,100,
"R19, R20",0603,2,5k2,
R2,0603,1,430k,
R21,0603,1,330k,
R23,0603,1,10k,
R7,0603,1,82k,
R8,0603,1,910k,
R9,0603,1,91k,
TRIMM,Potentiometer_ACP_CA6-VSMD_Vertical,1,R_Potentiometer,
"U1, U2",DIP-8_W7.62mm_LongPads,2,MCP6002-xP,
U3,NUCLEO-L432KC_Module,1,NUCLEO-L432KC,
U4,MSOP-8_3x3mm_P0.65mm,1,TPS62160DGK,
U6,CR2013-MI2120,1,CR2013-MI2120,
