Designator,Mid X,Mid Y,Rotation,Layer
C1,114.9,-62.4,180.0,top
C2,88.6,-69.0,270.0,top
C3,96.475,-71.425,180.0,top
C4,83.1,-29.8,90.0,top
CH SELECT,145.8,-75.7,180.0,top
J1,85.95,-80.5,0.0,top
J2,98.45,-94.4,0.0,top
J3,99.0,-77.3,0.0,top
J4,99.45,-82.1,270.0,top
J5,81.5,-64.75,270.0,top
L1,97.975,-68.125,0.0,top
MODE SELECT,145.6,-84.9,180.0,top
R1,102.3,-75.5,0.0,top
R10,101.4625,-86.02,180.0,top
R11,98.0,-86.0,0.0,top
R12,111.52,-94.27,90.0,top
R13,105.03,-65.19,270.0,top
R14,104.12,-67.82,180.0,top
R15,104.1025,-70.6,0.0,top
R16,116.1,-75.7,0.0,top
R17,105.45,-86.85,270.0,top
R18,114.32,-93.27,0.0,top
R19,89.30125,-63.905,0.0,top
R2,106.6,-75.55,180.0,top
R20,89.30125,-65.505,0.0,top
R21,97.975,-66.425,180.0,top
R22,93.075,-71.425,180.0,top
R23,83.15,-33.4,90.0,top
R3,104.35,-77.3,180.0,top
R4,113.5,-76.8,90.0,top
R5,102.0,-78.95,0.0,top
R6,110.9,-75.91,0.0,top
R7,102.35,-83.3,270.0,top
R8,99.9,-84.3,0.0,top
R9,103.95,-84.5,270.0,top
RUN / STOP,145.8,-67.0,0.0,top
TRIMM,146.4,-94.5,180.0,top
U1,111.45,-69.27,0.0,top
U2,111.6,-86.97,0.0,top
U3,130.6795,-79.9205,180.0,top
U4,92.775,-68.525,270.0,top
U6,117.875,-38.66,0.0,top
